Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year
single,43,1,9147,daytime,1,141,PT,37,37,9,9,130.2,0,,female,0,24,0,10,15,16,15,13.466666666666669,1,2009
single,1,4,9670,daytime,1,133,PT,1,2,4,7,121.1,0,1,male,0,18,0,0,6,7,6,13.666666666666666,0,2014
single,17,2,9500,daytime,1,130,PT,38,38,7,7,122.5,0,,male,0,19,0,0,8,8,7,13.937142857142858,0,2010
single,17,4,9500,daytime,1,121,PT,37,37,5,5,118.9,0,,male,0,21,0,0,7,7,7,14.428571428571429,0,2013
single,1,2,9070,daytime,1,135,PT,19,37,9,9,134,0,,male,1,22,0,0,6,10,5,10.8,0,2011
single,1,5,9500,daytime,1,139,PT,38,38,9,5,130.5,0,,male,0,19,0,0,8,8,7,14.992857142857142,0,2010
single,17,1,9254,daytime,1,115,PT,1,19,3,3,109.4,0,,male,0,19,0,0,6,8,6,12.666666666666666,0,2016
single,1,1,9500,daytime,1,128,PT,1,19,4,7,125.6,0,,female,0,18,0,0,7,7,7,12.444285714285714,0,2015
single,1,1,9773,daytime,1,154,PT,37,37,9,7,150.2,0,1,male,1,18,0,0,6,6,6,14.5,0,2013
single,1,2,9085,daytime,1,157,PT,3,3,5,2,153.9,0,1,male,0,18,0,0,6,7,6,16.571428571428573,0,2014
single,17,5,9500,daytime,1,137,PT,1,1,4,4,127.6,0,,male,0,18,0,0,7,7,7,13.528571428571428,0,2015
single,18,1,9773,daytime,1,124,PT,38,37,9,8,126.8,0,1,female,1,21,0,0,6,8,5,13.833333333333334,0,2014
single,39,1,9991,evening,1,130,PT,1,1,3,7,140,0,,female,0,26,0,0,5,5,5,12.4,0,2012
single,1,1,8014,evening,1,125,PT,37,37,9,7,114.9,0,,maLe,0,29,0,8,11,14,11,12.75,0,2009
single,1,3,9773,daytime,1,153,PT,3,1,2,8,137.6,0,,male,0,18,0,0,6,6,6,16,0,2015
married,39,1,9070,daytime,1,160,PT,3,1,2,5,126.5,0,,male,1,30,0,1,6,8,6,13,1,2014
married,42,1,9500,daytime,2,130,PT,37,37,9,9,130,0,,male,1,32,0,0,8,8,8,14.6625,0,2009
single,17,3,9070,daytime,1,142,PT,1,38,3,5,146.9,0,,male,1,18,0,0,6,6,6,13,0,2013
singel,1,1,9130,daytime,1,133.1,PT,6,11,4,5,138.4,0,,femaLe,0,21,0,0,5,8,3,14,0,2008
single,1,1,9500,daytime,1,129,PT,1,1,9,9,120,0,,female,0,20,0,0,8,8,7,15.028571428571428,0,2011
singel,44,1,9238,daytime,39,130,PT,19,1,9,9,131.9,0,,male,1,21,0,3,6,7,6,12,0,2014
single,43,1,9238,daytime,1,120,PT,1,38,4,3,118.3,0,1,MALE,1,20,0,8,11,12,11,12,0,2014
single,1,2,171,daytime,1,125,PT,38,19,9,9,117.3,0,1,female,1,21,0,0,0,0,0,0,0,2010
single,17,5,9773,daytime,1,146,PT,1,37,5,5,146.7,0,,female,0,19,0,0,6,7,6,13.833333333333334,0,2008
single,39,1,9147,daytime,19,133.1,PT,3,1,3,5,153.2,1,1,male,0,,0,0,5,8,5,10.2,0,2015
single,1,1,9853,daytime,1,125,PT,19,19,5,5,117,0,1,male,1,19,0,0,6,7,6,13.428571428571429,0,2012
single,17,2,8014,evening,1,120,PT,19,1,5,10,114.8,0,,male,0,19,0,0,6,8,4,10.5,0,2010
single,44,1,9085,daytime,39,140,PT,3,3,4,2,140,0,,male,0,19,0,0,6,8,4,14.4,0,2014
single,17,5,9670,daytime,1,132,PT,19,19,5,5,134.1,0,,female,0,21,0,0,6,6,6,15.166666666666666,0,2010
singel,42,1,9500,daytime,1,123,PT,37,37,3,3,123,0,,mal,1,21,0,0,8,8,8,13.105,0,2009
single,43,1,9130,daytime,1,140,PT,1,3,9,2,140,0,,male,1,20,0,0,6,8,6,15.625,0,2014
single,44,1,9003,daytime,39,160,PT,38,38,6,6,160,0,1,male,0,21,0,0,6,11,6,13.428571428571429,0,2012
divorced,43,1,9991,evening,1,140,PT,37,37,5,5,149.8,0,1,female,0,36,0,0,5,5,5,13.8,0,2011
single,17,1,9500,daytime,1,130,PT,19,1,9,7,130.4,0,,male,1,19,0,0,7,7,7,13.894285714285711,0,2016
singel,39,1,9003,daytime,1,120,PT,3,4,2,2,120,0,1,female,0,27,0,0,6,10,5,13,0,2013
single,1,2,9238,daytime,1,136,PT,19,19,4,7,121.7,0,1,male,1,21,0,0,6,9,5,12.333333333333334,0,2014
singel,1,1,9500,daytime,1,144,PT,38,37,9,9,125.8,0,,male,1,19,0,0,8,12,7,12.471428571428572,0,2011
single,17,3,9238,daytime,1,125,PT,19,19,7,8,121.5,0,1,male,0,19,0,0,6,10,5,11.666666666666666,0,2014
single,1,2,9500,daytime,1,97,PT,1,19,2,7,98.1,0,1,male,0,21,0,0,7,7,7,12.835714285714284,0,2016
singel,43,1,9085,daytime,1,130,PT,37,37,90,90,125.1,0,1,male,0,21,0,2,9,14,8,13.555555555555555,0,2008
,44,1,9070,daytime,39,150,PT,12,37,3,9,147.7,1,,male,1,22,0,2,7,7,7,13.571428571428571,0,2015
single,1,1,9500,daytime,1,118,PT,38,38,7,7,115.2,0,,male,0,19,0,0,7,9,6,12.97166666666667,0,2016
single,1,1,9500,daytime,1,133,PT,37,37,9,7,121.8,0,,female,1,18,0,0,8,8,8,12.93875,0,2009
single,16,1,9500,daytime,1,133.1,PT,37,37,9,9,95,0,1,maLe,0,20,0,0,7,7,6,13.755,0,2015
single,1,1,9254,daytime,1,131,DE,37,1,9,3,126.1,0,1,female,0,18,1,0,6,6,6,13.666666666666666,0,2008
single,1,2,9500,daytime,1,133.1,PT,19,38,7,9,125.5,0,1,mal,1,21,0,0,7,9,7,13.2,0,2012
singel,53,1,9556,daytime,42,140,PT,1,19,4,5,140,0,1,male,1,22,0,1,7,10,6,13.314285714285717,0,2017
single,1,3,171,daytime,1,137,PT,1,3,5,2,133.9,0,,female,0,19,0,0,0,0,0,0,0,2011
divorced,39,1,8014,evening,1,160,PT,37,37,3,4,97,0,1,male,1,35,0,0,6,9,6,11.333333333333334,0,2012
single,17,2,9773,daytime,1,133.1,BR,19,1,9,9,105,0,,male.,0,21,1,0,6,6,6,14,0,2017
single,1,2,9085,daytime,1,148,PT,38,19,4,9,134.7,0,,male,0,18,0,0,6,6,6,17,0,2017
single,1,1,9773,daytime,1,133.1,PT,3,19,2,5,127,0,1,F,0,20,0,0,6,6,6,14.333333333333334,0,2012
single,1,2,9500,daytime,1,131,PT,38,1,7,4,128.3,0,,male,1,18,0,0,8,8,7,12.642857142857142,0,2011
single,1,3,9500,daytime,1,141,PT,19,19,9,9,126,0,,male,0,18,0,0,8,8,7,15.657142857142857,0,2011
single,1,1,9147,daytime,1,130,PT,1,19,3,3,123,0,,male,1,18,0,0,5,7,5,13.333333333333334,0,2011
divorced,42,1,9147,daytime,1,110,PT,37,37,9,9,128.2,0,,male,0,41,0,8,14,24,11,12.25,3,2009
married,39,1,9991,evening,1,120,PT,37,19,5,3,156,0,,female,0,33,0,0,5,5,5,14.2,0,2010
single,17,4,9070,daytime,1,148,PT,1,3,4,1,163.4,0,1,male,0,20,0,0,6,7,6,11.5,0,2013
single,17,1,9670,daytime,1,134,PT,19,37,5,5,125.3,0,,female,1,19,0,0,6,7,4,13.75,0,2010
single,17,1,9670,daytime,1,120,PT,38,37,9,8,113.4,0,1,female,1,19,0,0,6,6,6,13.333333333333334,0,2017
single,1,2,9500,daytime,1,112,PT,1,37,4,9,106.8,0,1,male,1,19,0,0,7,8,6,13.533333333333331,0,2015
single,17,1,9670,daytime,1,123,PT,19,19,1,1,114.6,0,,male,0,18,0,0,5,5,4,11,0,2009
single,1,1,8014,evening,1,133.1,PT,3,1,1,7,100,0,,male,0,26,0,2,8,11,7,12.75,0,2013
single,15,1,9238,daytime,1,150,ST,3,37,2,8,132.5,0,,male,0,20,1,0,6,9,5,13,0,2014
single,17,4,9500,daytime,1,133,PT,4,4,4,4,130.7,0,1,male,0,19,0,0,7,7,7,14.757142857142856,0,2015
married,39,1,9085,daytime,1,120,PT,37,37,6,6,150,0,1,female,0,43,0,0,5,8,5,13.5,2,2009
single,1,1,9070,daytime,1,139,PT,1,19,3,9,134.9,0,1,female ,0,20,0,0,6,7,6,13.666666666666666,0,2013
single,1,3,9070,daytime,1,136,PT,37,38,9,9,125.2,0,1,male,1,18,0,0,6,6,6,14,0,2010
singel,17,5,9773,daytime,1,143,PT,1,1,7,7,136.7,0,,male,0,18,0,0,6,6,6,12.5,0,2017
single,44,1,9085,daytime,39,150,PT,38,38,4,1,150,0,,female,0,20,0,1,6,11,6,13.8,0,2013
single,43,1,9500,daytime,1,148,PT,29,38,90,3,131,0,1,MALE,1,22,0,18,23,23,20,14.575,3,2008
single,39,1,8014,evening,1,120,PT,1,19,6,8,122,0,,male,1,24,0,0,6,11,5,11,0,2016
single,1,3,9254,daytime,1,118,PT,1,19,9,9,111.7,0,1,male,0,19,0,0,6,6,6,12.5,0,2015
single,17,2,9238,daytime,1,125,PT,19,19,3,3,118,0,1,male,0,18,0,0,6,9,5,11,0,2017
single,1,1,9147,daytime,1,139,PT,38,1,5,5,127.1,0,,female,1,22,0,0,5,8,5,11.2,0,2011
single,1,1,9500,daytime,1,144,PT,38,1,9,10,137.4,0,1,male.,0,19,0,0,7,7,7,13.542857142857144,0,2013
single,1,4,9556,daytime,1,122,PT,37,1,5,4,123.9,0,1,male,0,19,0,0,7,9,7,12.1625,0,2014
single,17,3,9500,daytime,1,144,PT,1,37,9,9,126.5,0,,male,1,20,0,0,8,8,7,13.487142857142857,0,2010
single,1,3,9500,daytime,1,154,PT,1,37,4,9,134.8,0,,male,0,19,0,0,7,7,6,13.533333333333331,0,2008
single,43,1,9853,daytime,1,140,PT,3,1,3,3,128.3,0,,male,0,35,0,19,21,21,21,12.61904761904762,0,2015
single,39,1,8014,evening,19,149,PT,34,34,0,0,126.3,0,1,male,0,55,0,0,6,6,6,13.833333333333334,0,2008
single,1,1,171,daytime,1,137,PT,1,38,4,5,130.4,0,,femaLe,0,19,0,0,0,0,0,0,0,2012
single,51,1,8014,evening,42,140,PT,19,37,134,193,138,1,,male,1,21,0,13,13,13,11,12.727272727272728,0,2017
married,43,1,9254,daytime,3,120,PT,38,37,9,3,120,0,,male,0,33,0,9,12,22,10,13.3,0,2009
single,1,1,9238,daytime,1,107,PT,2,12,3,10,104.2,0,,male,0,20,0,0,6,6,6,12.166666666666666,0,2016
single,43,1,9070,daytime,1,134,PT,19,37,7,7,132.7,0,1,female ,0,22,0,9,13,13,13,14,0,2012
single,1,1,9147,daytime,1,177,PT,1,38,3,9,162.3,0,1,male,1,18,0,0,5,6,5,16.333333333333332,0,2012
single,17,2,9238,daytime,1,145,PT,19,38,7,6,128.6,0,,male,1,19,0,0,6,12,5,11.714285714285714,0,2011
single,1,1,9773,daytime,1,146,PT,37,37,9,7,149.2,0,1,FEM,1,21,0,0,6,6,6,13.5,0,2011
singel,17,3,9500,daytime,1,132,PT,37,37,9,7,128.3,0,1,male,1,19,0,0,7,8,7,14.70625,0,2012
single,44,1,9003,daytime,39,160,PT,1,38,4,4,160,0,1,female,1,20,0,0,6,9,6,13.444444444444445,0,2014
single,15,1,9670,daytime,1,130,ST,,1,2,7,130,1,1,male,0,20,1,0,6,6,6,13.5,0,2017
single,1,1,9500,daytime,1,140,PT,1,1,4,4,123.5,0,1,male,1,19,0,0,8,8,8,14.75,0,2009
single,17,3,9773,daytime,1,132,PT,1,1,4,9,124.3,1,,male,1,19,0,0,6,6,6,11.833333333333334,0,2012
single,1,1,9147,daytime,1,133,PT,38,38,7,7,147,0,1,male,1,18,0,0,5,7,4,13,0,2009
single,17,2,9070,daytime,1,126,PT,38,38,9,8,129.9,0,1,female,1,19,0,0,6,6,6,13.666666666666666,0,2015
single,39,1,9085,daytime,1,133.1,PT,19,37,9,6,130,0,1,male,0,26,0,0,6,17,6,12.666666666666666,0,2012
married,39,1,9500,daytime,1,133.1,PT,19,37,6,6,120,0,,male,1,32,0,0,8,9,7,12.757142857142856,0,2011
single,17,1,9500,daytime,1,131,PT,,38,4,5,132.3,0,,male,0,19,0,0,7,7,6,11.683333333333332,0,2008
single,17,2,9070,daytime,1,130,PT,37,37,9,9,123.7,0,,male,0,18,0,0,6,6,6,12.333333333333334,0,2008
single,1,2,9670,daytime,1,123,PT,1,38,7,7,120.6,0,1,female,0,19,0,0,6,6,6,13.333333333333334,0,2017
single,53,1,9085,daytime,42,160,PT,19,37,4,9,160,0,1,male,0,20,0,7,11,15,11,13.785714285714286,0,2017
single,1,1,9238,daytime,1,132,PT,1,38,9,7,127.1,0,1,maLe,1,20,0,0,6,9,6,12.333333333333334,0,2017
single,1,4,9500,daytime,1,137,PT,37,37,9,9,127.5,0,1,male,0,18,0,0,8,8,8,13.045,0,2009
single,1,1,9991,evening,1,143,PT,19,37,5,8,135,0,,male,1,20,0,0,5,5,5,12.4,0,2010
single,16,4,9773,daytime,1,109,PT,37,37,9,3,137,0,,male,1,18,0,0,6,7,6,12.666666666666666,0,2010
single,1,4,9500,daytime,1,128,PT,1,1,4,10,125.2,0,,FEM,1,18,0,0,7,7,7,14.682857142857143,0,2015
single,17,1,9670,daytime,1,132,PT,1,1,3,3,119.4,0,,male,1,18,0,0,6,7,6,13.833333333333334,0,2017
married,39,1,9500,daytime,1,133.1,PT,3,1,5,5,148.8,0,1,male,1,34,0,0,7,7,6,12.513333333333334,0,2015
single,18,2,9773,daytime,1,132,GU,37,19,9,7,119.1,0,,male,1,22,1,0,6,8,5,11.6,0,2009
single,17,6,9556,daytime,1,118,PT,38,38,5,5,117.8,0,,male,1,19,0,0,7,11,6,12.4,0,2016
single,7,1,9991,evening,3,140,PT,37,37,9,9,140,0,1,female,0,27,0,0,5,6,4,13.5,0,2008
single,17,2,171,daytime,1,131,PT,2,1,3,3,148.9,0,,male,0,20,0,0,0,0,0,0,0,2009
single,17,1,9254,daytime,1,111,PT,19,19,3,10,117.7,0,1,male,0,20,0,0,6,8,5,10.8,0,2009
single,1,1,9773,daytime,1,151,DE,1,1,5,9,146.5,0,1,male,1,,1,0,6,6,6,13.333333333333334,0,2011
single,17,4,9085,daytime,1,128,PT,38,37,4,9,117.9,0,,male,0,20,0,0,5,12,2,13.5,0,2010
single,1,1,9853,daytime,1,140,PT,37,37,9,9,145.3,0,,male,0,18,0,0,6,6,6,13.666666666666666,0,2008
single,44,1,9070,daytime,39,120,PT,2,19,3,8,120,0,,female,0,21,0,2,7,10,6,13.428571428571429,0,2013
single,1,2,9070,daytime,1,126,PT,19,38,9,9,132,0,1,male,1,19,0,0,6,6,6,14.166666666666666,0,2010
single,1,1,9147,daytime,1,133,PT,19,37,9,9,129.9,0,,female ,0,18,0,0,5,5,5,11.6,0,2015
single,1,1,9773,daytime,1,137,PT,1,1,5,5,129.3,0,1,female,0,,0,0,6,6,6,13.666666666666666,0,2011
single,16,2,171,daytime,1,145,PT,3,3,2,2,143.6,0,1,female,0,18,0,0,0,0,0,0,0,2015
single,1,1,9670,daytime,1,141,PT,,38,9,9,130.5,0,1,female,0,19,0,0,6,8,6,14.25,0,2016
married,39,1,9003,daytime,19,133.1,PT,37,19,9,4,140,1,,male.,0,29,0,0,6,11,5,12.6,0,2016
single,1,1,9070,daytime,1,115,PT,19,1,3,8,123.4,0,1,MALE,0,23,0,1,6,8,6,13,1,2014
single,1,3,9500,daytime,1,142,PT,37,38,9,9,137.3,0,,male,1,22,0,0,7,7,6,13.9,0,2008
single,1,1,9070,daytime,1,128,PT,19,2,7,3,126.3,0,,male.,0,19,0,0,6,6,6,13.166666666666666,0,2012
single,1,1,9500,daytime,1,129,PT,38,38,5,5,120.8,0,1,male,1,20,0,0,8,8,7,12.744285714285716,0,2010
single,1,3,9773,daytime,1,130,PT,19,19,9,9,123,0,,male,0,18,0,0,6,6,6,12.666666666666666,0,2011
single,18,6,9500,daytime,1,141,PT,1,19,1,1,126.7,0,,male,1,18,0,0,8,8,7,14.314285714285717,0,2011
single,7,1,9003,daytime,3,120,PT,1,19,4,1,120,0,,female ,0,27,0,14,18,21,18,11.421052631578949,0,2012
single,1,2,9670,daytime,1,135,PT,19,19,7,10,121.4,0,1,female,0,19,0,0,5,7,3,12.333333333333334,0,2009
single,1,2,9070,daytime,1,164,PT,38,38,9,7,165.8,0,,male,0,18,0,0,6,7,6,14.166666666666666,0,2009
single,17,5,9500,daytime,1,137,PT,1,1,5,5,132.6,0,1,male,1,18,0,0,7,7,7,13.857142857142858,0,2014
married,39,1,9500,daytime,1,140,PT,37,37,9,4,127.3,0,1,female,0,26,0,0,8,8,7,13.075714285714286,0,2010
single,1,1,9147,daytime,1,156,PT,3,19,3,3,151.1,1,,female,0,19,0,0,5,7,5,13.6,0,2013
single,51,1,9500,daytime,1,127,PT,19,1,5,9,150,0,,male,1,,0,0,7,9,5,13.85,0,2016
single,1,1,9500,daytime,1,145,PT,19,19,9,7,136.6,0,,male,1,19,0,0,7,12,6,13.766666666666666,0,2012
single,17,1,9500,daytime,1,150,PT,37,19,8,4,130.8,0,,female,0,24,0,0,7,8,7,11.975,0,2014
single,39,1,8014,evening,19,133.1,PT,19,19,144,141,131.5,1,,male,1,39,0,0,6,9,6,11.833333333333334,0,2016
single,16,6,9147,daytime,1,128,PT,37,37,9,9,116.5,0,,male,0,20,0,0,5,8,4,11.6,0,2008
married,43,1,9003,daytime,1,133.1,PT,37,37,9,7,136,0,1,female,0,41,0,18,19,19,19,12.68421052631579,0,2012
single,18,1,9853,daytime,1,132,PT,37,37,9,5,126.1,0,1,male,1,18,0,0,7,9,6,12.333333333333334,0,2016
single,17,1,9085,daytime,1,128,PT,38,37,9,9,116.5,0,1,female,0,18,0,0,5,6,5,12,0,2010
single,1,1,9254,daytime,1,115,PT,3,2,4,5,112.6,0,,female,1,20,0,0,6,9,6,12.571428571428571,0,2017
single,44,1,9670,daytime,39,110,PT,37,1,9,4,110,0,,male,1,20,0,2,6,9,6,12.125,0,2016
married,39,1,9003,daytime,1,130,PT,1,19,4,9,152.4,0,,male,0,36,0,4,12,14,12,13.846153846153848,0,2017
singel,1,1,9085,daytime,1,134,PT,1,1,2,7,128.4,0,,male,1,18,0,0,5,12,5,12.857142857142858,2,2009
single,1,1,9500,daytime,1,143,PT,,37,3,8,128,0,1,male,1,18,0,0,7,9,7,13.055555555555555,0,2014
single,18,3,9070,daytime,1,138,PT,38,37,9,7,125.1,0,,male,1,19,0,0,6,6,6,12.666666666666666,0,2012
single,17,1,9085,daytime,1,141,PT,3,2,2,3,130.2,0,,male,0,20,0,0,6,14,6,15.75,0,2012
single,17,4,9500,daytime,1,137,PT,1,37,9,9,128.4,0,,male,1,19,0,0,7,7,7,13.385714285714286,0,2014
single,1,3,9500,daytime,1,137,PT,19,19,5,4,131.5,0,1,male,1,20,0,0,8,8,8,13.38125,0,2009
single,1,1,9070,daytime,1,130,PT,12,19,4,5,118.5,0,,male,1,18,0,0,6,6,6,12,0,2017
single,1,1,9238,daytime,1,115,PT,19,38,7,7,108.7,0,,male,1,19,0,0,6,9,5,10.8,0,2012
singel,1,6,9500,daytime,1,144,PT,19,19,9,9,130.5,0,1,male,0,18,0,0,8,12,7,11.971428571428572,0,2011
single,17,1,9773,daytime,1,138,PT,1,19,9,9,124,0,1,male.,1,19,0,0,6,6,6,13.166666666666666,0,2016
single,16,2,9147,daytime,,139,PT,38,37,9,9,123.7,0,,mal,1,22,0,0,5,8,4,12,0,2013
single,1,3,9070,daytime,1,147,PT,,37,5,7,135.8,0,,male,0,20,0,0,6,6,6,13.666666666666666,0,2009
single,17,5,9773,daytime,1,111,PT,19,12,7,3,115.9,0,,male,0,22,0,0,6,7,6,13.571428571428571,0,2014
single,43,2,9147,daytime,1,130,PT,34,37,9,9,118.5,0,,female,0,,0,5,10,19,8,11.625,1,2008
singel,1,2,171,daytime,1,117,PT,1,19,3,3,121.6,0,,male,0,22,0,6,12,12,12,12.916666666666666,0,2017
single,39,1,9556,daytime,1,120,PT,38,38,191,193,120,1,1,male,1,24,0,0,7,13,7,11,0,2011
single,1,2,9773,daytime,1,135,PT,37,37,5,5,126.3,0,,male,1,20,0,0,6,6,6,14.666666666666666,0,2017
facto union,39,1,9254,daytime,1,133.1,PT,2,2,2,2,103,0,1,male,0,62,0,0,6,7,6,15,0,2010
single,1,2,9070,daytime,1,135,PT,1,1,4,7,129.8,0,1,male,0,19,0,0,6,6,6,11.833333333333334,0,2009
single,10,1,9670,daytime,1,148.9,CV,37,37,9,9,148.9,0,,male,0,20,1,0,5,6,5,11.6,0,2009
married,39,2,8014,evening,19,100,PT,37,37,4,7,100,1,,male,0,37,0,0,6,9,6,11.833333333333334,0,2008
single,17,4,9238,daytime,1,124,PT,19,19,5,8,117.7,0,1,male,0,18,0,0,6,10,5,12,0,2013
single,17,5,9556,daytime,1,139,PT,19,19,9,8,121.3,0,1,male,1,19,0,0,7,8,7,13.385714285714286,0,2010
single,43,1,9130,daytime,1,125,PT,39,3,3,2,125,0,,male,0,21,0,0,5,6,0,0,5,2010
facto union,7,1,9991,evening,2,120,PT,37,37,6,6,120,0,,male,0,46,0,6,8,12,8,12.375,0,2017
single,1,1,9773,daytime,1,123,PT,1,38,9,9,116.7,0,,male,1,18,0,0,6,6,6,12.166666666666666,0,2015
single,1,1,9500,daytime,1,125,PT,37,19,9,9,122.4,0,,female,0,19,0,0,7,7,7,13.725714285714286,0,2016
single,1,5,171,daytime,1,139,PT,19,3,9,2,136.9,0,,femaLe,1,19,0,0,0,0,0,0,0,2009
single,17,5,9500,daytime,1,124,PT,3,38,2,1,119.8,0,,female,0,19,0,0,8,11,7,13.867142857142856,0,2010
single,1,1,9238,daytime,1,136,PT,38,38,0,7,133.2,0,1,male,0,19,0,0,6,8,5,11,0,2008
single,1,1,9238,daytime,1,145,PT,19,1,6,5,127.9,0,1,male,0,19,0,0,6,7,6,13.714285714285714,0,2011
single,1,2,9500,daytime,1,124,PT,,37,7,7,116.5,0,,male,1,20,0,0,7,9,7,14.093333333333332,0,2016
single,18,1,9670,daytime,1,133,PT,1,1,9,9,121.5,0,,male,1,19,0,0,6,7,6,13,0,2015
married,39,1,8014,evening,1,140,PT,19,19,9,7,102.5,0,,male,1,32,0,0,6,6,6,11.333333333333334,0,2012
single,1,6,9254,daytime,1,129,PT,38,19,9,5,117.8,0,1,male,0,18,0,0,6,11,6,12,0,2017
single,1,1,9147,daytime,1,117,PT,38,19,5,7,118.1,0,1,female,0,19,0,0,5,6,5,11.2,0,2015
single,44,1,9003,daytime,39,150,PT,37,38,4,8,150,0,,male,1,21,0,0,6,9,6,12.666666666666666,0,2014
single,17,3,9500,daytime,1,143,PT,3,3,9,7,129,0,1,female,0,19,0,0,7,8,7,13.3625,0,2014
single,15,1,9254,daytime,1,140,ST,19,1,9,7,140,0,0,maLe,0,21,1,0,6,6,6,11.5,0,2014
single,10,2,9085,daytime,1,163.3,CV,19,1,4,9,163.3,0,1,male.,0,18,1,0,6,10,6,13.5,0,2015
single,43,1,9003,daytime,1,150,PT,2,4,4,1,150,0,1,female,0,35,0,16,18,22,18,11.666666666666666,0,2012
single,1,1,9773,daytime,1,132,PT,2,1,9,9,126.4,0,,male,1,18,0,0,6,9,6,11.166666666666666,0,2010
single,1,2,9773,daytime,1,130,PT,19,19,9,9,126.9,0,,FEM,1,18,0,0,6,6,6,14,0,2009
single,17,3,9500,daytime,1,136,PT,37,38,4,5,126,0,1,male,0,19,0,0,8,8,7,15.11,0,2010
single,17,6,9238,daytime,1,117,PT,1,38,4,7,114.6,0,,male,1,18,0,0,6,7,6,12.142857142857142,0,2014
single,1,3,9254,daytime,1,128,PT,,1,7,9,121.7,0,,male,1,18,0,0,6,6,6,12.666666666666666,0,2015
single,17,5,9500,daytime,1,144,PT,19,38,9,5,130.7,0,,male,1,18,0,0,7,8,7,14.85,0,2014
single,42,1,9991,evening,1,160,PT,1,2,4,3,120,0,1,male,0,30,0,4,7,9,7,14.142857142857142,0,2008
single,44,1,9003,daytime,39,150,PT,38,37,9,9,150,0,1,femaLe,0,20,0,0,6,8,6,13.125,0,2013
single,1,4,9238,daytime,1,127,PT,19,19,4,0,127.4,0,,male,0,20,0,0,6,8,6,11.166666666666666,0,2008
single,53,1,9147,daytime,42,140,PT,3,4,2,1,140.2,0,,male,0,20,0,6,11,19,9,12.555555555555555,0,2017
single,1,1,9670,daytime,1,113,PT,1,37,1,10,116.5,0,1,male,0,19,0,0,6,7,6,12.833333333333334,0,2017
single,17,2,9670,daytime,1,128,PT,37,38,5,8,121.7,0,1,female,1,20,0,0,5,5,5,12.4,0,2009
single,17,1,9238,daytime,1,131,PT,1,1,4,10,129.3,0,1,male,0,19,0,4,8,8,8,13.875,0,2016
single,17,4,9254,daytime,1,125,PT,38,38,5,5,115.6,0,1,male,0,,0,0,6,6,6,11,0,2009
single,1,1,9085,daytime,1,119,PT,2,1,4,3,113.1,0,,male,0,21,0,0,5,6,5,12.2,0,2010
single,18,2,9556,daytime,1,126,PT,3,3,2,2,115.5,0,,female,0,18,0,0,7,11,6,13.433333333333332,0,2017
single,17,2,9238,daytime,1,139,PT,2,3,3,3,132.7,0,,MALE,0,19,0,0,6,7,6,11.166666666666666,0,2009
married,1,1,9991,evening,3,160,PT,1,3,4,9,137.3,0,,male,0,23,0,0,5,5,5,10.8,0,2009
single,17,1,9238,daytime,1,132,PT,1,19,4,9,127.1,0,,male,0,19,0,0,6,7,6,12.857142857142858,0,2014
single,17,1,9670,daytime,1,121,PT,19,38,4,10,114.4,0,,male,0,19,0,0,6,10,5,11.5,0,2016
single,1,1,9670,daytime,1,142,PT,1,19,4,4,128,0,1,male,1,18,0,0,6,8,6,14,0,2016
single,17,1,9500,daytime,1,140,PT,19,38,7,7,136.5,0,,male,1,18,0,0,7,7,7,14.838571428571427,0,2015
married,39,1,8014,evening,1,133.1,PT,37,37,9,7,162.5,0,1,female,0,54,0,4,9,9,9,14.333333333333334,0,2017
single,18,3,9070,daytime,1,164,PT,1,1,5,3,161.2,0,,male,0,18,0,1,6,8,6,13.714285714285714,1,2014
single,42,1,9500,daytime,1,168,PT,37,1,9,4,133.4,0,,male,0,23,0,20,26,27,26,15.07777777777778,0,2012
single,1,1,9070,daytime,1,131,PT,3,3,3,3,135.9,0,1,male,1,21,0,1,6,8,6,12.571428571428571,1,2014
single,5,2,9238,daytime,1,123,PT,40,38,2,9,118.1,0,1,male,0,19,0,0,6,6,6,14,0,2017
single,17,2,9238,daytime,1,111,PT,19,38,9,9,110.7,0,,male,0,19,0,0,6,9,6,12.166666666666666,0,2017
single,1,1,9500,daytime,1,131,PT,4,4,2,1,120.5,0,1,male,0,19,0,0,7,7,6,14.15,0,2008
single,39,1,9254,daytime,1,130,PT,37,37,9,9,126.5,0,1,female,0,26,0,0,6,7,6,12.428571428571429,0,2008
single,1,4,9500,daytime,1,141,PT,38,38,7,7,132.5,0,,male,1,18,0,0,8,8,8,13.39125,0,2009
single,18,1,9147,daytime,,160,PT,19,19,5,8,137.6,0,,male,1,19,0,0,5,6,5,12.6,0,2010
single,17,4,9500,daytime,1,136,PT,3,3,2,2,132.5,0,,male,0,19,0,0,7,8,7,13.198571428571428,0,2016
married,43,2,9147,daytime,1,133.1,PT,37,37,9,9,109,0,,male,0,46,0,4,9,18,8,11.375,2,2009
