Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year
single,39,1,8014,evening,19,100,PT,37,37,5,5,111,0,,male,1,26,0,0,6,10,3,12.333333333333334,0,2008
single,44,1,9085,daytime,39,140,PT,38,38,9,7,140,0,,male,0,20,0,2,6,9,6,12.666666666666666,0,2014
single,17,1,9085,daytime,1,134,PT,19,37,2,7,131.2,0,,male,0,19,0,0,5,8,1,11,0,2008
single,53,1,9003,daytime,1,130,PT,19,1,9,9,130,1,1,FEM,0,21,0,7,12,20,10,11.8,0,2017
single,1,5,9500,daytime,1,130,PT,1,3,9,10,118.1,0,,female,0,18,0,0,7,10,6,12.035714285714286,0,2014
single,1,1,9254,daytime,1,118,PT,37,37,7,7,114.2,0,,male,0,18,0,0,6,10,5,12.2,0,2013
single,39,1,9556,daytime,40,130,PT,1,1,4,5,145,0,,male,0,25,0,0,7,10,6,12.125,0,2012
divorced,39,1,9991,evening,1,133.1,PT,37,37,9,9,130.4,0,1,male,0,30,0,0,5,10,3,10.666666666666666,0,2011
single,1,1,9119,daytime,1,150,PT,1,1,3,3,143.4,0,,female ,1,,0,0,5,5,5,14.2,0,2017
single,1,5,9773,daytime,1,125,PT,37,3,5,2,126.1,0,,female,0,22,0,0,6,10,5,13.4,0,2009
single,17,1,9147,daytime,1,148,PT,38,37,5,5,134,0,,femaLe,0,18,0,0,5,9,0,0,0,2008
single,44,1,9003,daytime,1,140,PT,1,1,4,5,140,0,,female,0,20,0,0,6,11,6,11.285714285714286,0,2013
single,1,1,9853,daytime,1,133,PT,37,19,7,7,126.7,0,,male,0,18,0,0,6,9,5,11.833333333333334,0,2012
single,18,1,9991,evening,,133.1,PT,38,38,5,5,145,0,1,male,1,21,0,0,5,6,4,12.25,0,2010
single,39,1,9119,daytime,1,133.1,PT,37,19,9,3,123,0,,female,1,28,0,0,5,16,3,14.333333333333334,0,2009
single,17,4,9119,daytime,1,139,PT,37,19,9,4,133.1,0,1,female,0,18,0,0,5,8,4,12.5,0,2008
single,44,1,9003,daytime,,130,PT,5,3,2,2,130,0,1,FEM,0,20,0,1,7,13,3,10.666666666666666,0,2012
married,17,5,9119,daytime,1,126,PT,37,38,4,4,122.9,0,,female,0,21,0,0,5,10,4,13.2,0,2008
single,17,2,9254,daytime,1,118,CV,19,37,9,9,110.3,0,,male,0,18,1,0,6,7,5,12.6,0,2016
single,5,1,9853,daytime,1,119,PT,1,38,5,8,118.3,0,,male,0,22,0,0,6,11,3,15,0,2009
single,39,1,9991,evening,1,130,PT,1,1,4,10,115.2,0,,female,0,24,0,0,5,5,4,12,0,2015
singel,39,1,8014,evening,1,120,PT,37,37,9,7,106.8,0,,male,0,49,0,0,6,9,5,12.333333333333334,0,2014
single,5,1,9147,daytime,1,126,PT,19,38,5,6,117.3,0,,male,0,19,0,0,5,15,3,10.8,0,2014
single,17,1,9119,daytime,1,131,PT,1,3,9,10,123.7,0,,female,0,20,0,0,5,7,4,12,0,2010
single,44,1,9085,daytime,1,130,PT,1,1,4,3,130,0,,male,0,20,0,0,6,13,5,11.8,0,2015
single,1,4,9500,daytime,1,118,PT,19,19,3,3,110,0,1,male,0,19,0,0,7,12,4,12.85,0,2016
single,17,1,9500,daytime,1,141,PT,2,38,2,10,135.4,0,,male,0,18,0,0,7,9,7,12.50625,0,2014
single,42,1,9003,daytime,1,140,PT,,19,4,4,140,0,1,female,0,25,0,0,6,14,5,11.666666666666666,0,2012
single,18,5,9853,daytime,1,110,PT,19,37,7,7,110,0,,male,0,20,0,0,6,10,4,12.75,0,2010
married,39,1,9003,daytime,1,150,PT,3,3,2,2,120,1,,male,0,34,0,1,6,10,6,14.333333333333334,0,2016
single,39,1,9500,daytime,1,148,PT,3,19,2,5,130,0,,male,0,24,0,0,8,12,7,12.714285714285714,0,2011
single,1,2,9500,daytime,1,130,PT,1,38,9,9,125.1,0,,mal,1,18,0,0,7,9,6,12.816666666666668,0,2016
single,39,1,9500,daytime,40,130,PT,37,37,9,7,130,0,,male,0,27,0,3,8,12,7,12.457142857142856,0,2011
single,17,1,9238,daytime,1,154,PT,19,37,9,7,140.4,0,1,male,1,20,0,0,6,13,2,10,0,2008
single,43,2,9500,daytime,1,136,PT,19,1,9,10,124.1,0,,female,1,21,0,0,8,8,0,0,8,2009
single,16,3,9853,daytime,1,134,PT,19,37,9,9,121.1,0,,male,0,19,0,0,6,8,5,12.2,0,2010
single,53,1,9085,daytime,42,130,PT,19,1,9,9,130,1,,male,0,24,0,7,9,9,8,13.125,0,2017
single,44,1,9254,daytime,39,130,PT,39,39,194,193,130,1,1,female,0,23,0,0,6,12,3,11.5,0,2017
divorced,39,1,9853,daytime,19,133.1,PT,38,19,9,9,108,1,,male,0,33,0,0,7,7,7,12.857142857142858,0,2017
single,1,3,9670,daytime,1,120,PT,37,37,7,7,111.3,0,,female,0,19,0,0,5,7,3,11.333333333333334,0,2009
single,17,3,9119,daytime,1,120,PT,1,19,9,3,116.9,1,0,female,0,18,0,0,5,10,3,12,0,2017
single,44,1,9085,daytime,39,130,PT,2,2,6,6,130,0,,female,0,20,0,2,6,10,5,13.2,0,2015
single,1,1,9147,daytime,1,129,PT,37,37,9,7,117.8,0,,male,1,19,0,0,5,6,4,11,0,2010
married,39,1,9147,daytime,1,140,PT,37,37,6,10,131.8,0,1,mal,0,35,0,0,5,6,4,14.2,0,2010
single,44,1,9119,daytime,39,130,PT,3,19,3,4,130,0,1,female,0,20,0,0,5,12,1,13,0,2015
single,44,1,9085,daytime,39,130,PT,3,1,2,9,130,0,1,male,0,21,0,1,6,13,3,11.75,0,2015
single,17,2,9853,daytime,1,150,PT,37,37,5,6,132.5,0,,male,0,22,0,0,6,9,4,12.25,0,2010
single,44,1,9119,daytime,39,150,PT,19,3,5,2,150,0,,female,0,20,0,0,5,16,0,0,0,2011
single,1,1,9147,daytime,1,138,PT,37,37,194,171,131,0,,MALE,0,19,0,0,5,9,4,11,0,2015
married,39,2,9147,daytime,1,140,PT,37,37,9,8,108,0,,male,0,50,0,0,5,12,3,13.333333333333334,1,2009
single,39,1,9119,daytime,19,133.1,PT,19,19,5,3,100.9,0,,female,0,24,0,0,5,9,1,12,0,2010
single,1,1,9085,daytime,1,135,PT,19,38,9,5,136.8,0,,male,0,18,0,0,5,11,5,14,3,2009
single,1,1,9500,daytime,1,138,PT,38,1,9,4,127.5,0,1,male,0,19,0,0,7,10,5,12.94,0,2013
single,1,1,9085,daytime,1,135,PT,1,2,9,1,134.3,0,1,male,0,19,0,0,5,7,5,14.2,2,2011
single,1,3,9500,daytime,1,125,PT,3,1,4,4,119.4,0,,male,0,19,0,0,7,10,6,12.471428571428572,0,2015
single,1,1,9085,daytime,1,133.1,PT,3,1,4,9,105,0,,female,0,21,0,0,6,15,3,11.25,0,2015
married,43,1,9991,evening,1,140,PT,37,37,3,10,107.8,0,1,male.,0,33,0,8,10,15,8,10.375,0,2008
single,39,1,9991,evening,12,133.1,PT,37,37,9,9,121.5,0,,female,0,38,0,0,5,11,2,10.5,0,2008
single,1,2,9070,daytime,1,129,PT,1,1,4,9,132.9,0,,female,1,20,0,0,6,9,6,11.375,0,2008
single,53,1,9070,daytime,,130,PT,40,19,3,5,130,0,,male,1,22,0,0,6,8,6,11,0,2017
married,39,1,9991,evening,1,150,PT,1,4,4,2,146,0,,female,0,34,0,0,5,5,5,14.2,0,2011
married,39,1,9238,daytime,19,133.1,PT,37,37,9,9,130,0,,male,0,,0,0,6,11,0,0,0,2009
,1,1,9254,daytime,1,125,PT,37,37,9,9,122.9,0,,femaLe,1,19,0,0,6,7,6,11.166666666666666,0,2010
single,44,1,9085,daytime,39,140,PT,1,19,9,9,140,0,,male,0,20,0,1,6,13,6,12.555555555555555,0,2013
single,17,1,9119,daytime,1,127,PT,19,1,4,5,115.8,0,,female,0,20,0,0,5,10,4,11.5,0,2014
singel,1,2,9773,daytime,1,133.1,PT,38,19,4,7,98,0,1,female,1,19,0,0,6,8,4,12,0,2012
